Frame,Time_Seconds,X_Position,Y_Position,Velocity_X,Velocity_Y,IsFalling,IsElectrocuted,Dialogue
1,0.5,-7,,,,,,"""3분 남았군요."""
2,0.5,-7.1,,,,,,"""강의실까지 3분안에 갈 수 있을까요?"""
3,0.5,6,,,,,,"""무모한 도전이 되겠어요"""
4,0.5,6.1,,,,,,"""물론 좋은 도전이기도 합니다"""
5,0.5,28,,,,,,"""점프는 W나 방향키로도 가능합니다"""
6,0.5,40,,,,,,"""스페이스가 클래식이죠"""
7,0.5,28,2,,,,,"""빠른 터득은 좋습니다"""
8,1,53,2,,,,,"""코인을 얻는것이 좋습니다"""
9,1,53,2,,,,,"""티끌모아 태산이잖아요"""
10,1,93,4,,,,,"""때로는 밟고 올라가야 하는 법이죠"""
11,1,83,4,,,,,"""경쟁사회에선 어쩔 수 없습니다"""
12,1,110,,,,,,"""대학교에 입학하는 그 순간만을 위해"""
13,1,110,,,,,,"""무모하게 달린 것 같습니다"""
14,1,125,,,,,,"""하지만 또 다시 달려야하네요"""
15,1,172,,,,,,"""들어가는게 좋을 것 같습니다"""
16,1,213,,,,,,"""익숙한 건물입니다"""
17,0.5,238,,,,,,"""조심하세요"""
18,2,,-10,,,,,"""축하합니다"""
19,1,,-10,,,,,"""성병빼고 다 걸린다는"""
20,2,,-10,,,,,"""호수에 빠지셨군요"""
21,1,,-10,,,,,"""빠져나갈 수 있습니다"""
22,1,,-10,,,,,"""마시면 됩니다"""
23,1,,-10,,,,,"""E키를 눌러 커피를 구입하세요"""
24,1,,,,-100,,,"""대학원 음료수는 한번만 마시세요"""
25,1,,,100,,,,"""기초적인 임플란트입니다"""
