Frame,Time_Seconds,X_Position,Y_Position,Velocity_X,Velocity_Y,IsFalling,IsElectrocuted,Dialogue
1,0,0.5,9.9,0.5,-0.1,FALSE,FALSE,
2,0,1,9.8,0.5,-0.1,FALSE,FALSE,
3,0,1.5,9.7,0.5,-0.1,FALSE,FALSE,
4,0,2,9.6,0.5,-0.1,FALSE,FALSE,
5,0,2.5,9.5,0.5,-0.1,FALSE,FALSE,
6,0,3,9.4,0.5,-0.1,FALSE,FALSE,
7,0,3.5,9.3,0.5,-0.1,FALSE,FALSE,
8,0,4,9.2,0.5,-0.1,FALSE,FALSE,
9,0,4.5,9.1,0.5,-0.1,FALSE,FALSE,
10,0,5,9,0.5,-0.1,FALSE,FALSE,
11,0,5.5,8.9,0.5,-0.1,FALSE,FALSE,
12,0,6,8.8,0.5,-0.1,FALSE,FALSE,
13,0,6.5,8.7,0.5,-0.1,FALSE,FALSE,
14,0,7,8.6,0.5,-0.1,FALSE,FALSE,
15,0,7.5,8.5,0.5,-0.1,FALSE,FALSE,
16,0,8,8.4,0.5,-0.1,FALSE,FALSE,
17,0,8.5,8.3,0.5,-0.1,FALSE,FALSE,
18,0,9,8.2,0.5,-0.1,FALSE,FALSE,
19,0,9.5,8.1,0.5,-0.1,FALSE,FALSE,
20,0,10,8,0.5,-0.1,FALSE,FALSE,
21,0,10.5,7.9,0.5,-0.1,FALSE,FALSE,
22,0,11,7.8,0.5,-0.1,FALSE,FALSE,
23,0,11.5,7.7,0.5,-0.1,FALSE,FALSE,
24,0,12,7.6,0.5,-0.1,FALSE,FALSE,
25,0,12.5,7.5,0.5,-0.1,FALSE,TRUE,Ouch! That hurt!
26,0,13,7.4,0.5,-0.1,FALSE,FALSE,
27,0,13.5,7.3,0.5,-0.1,FALSE,FALSE,
28,0,14,7.2,0.5,-0.1,FALSE,FALSE,
29,0,14.5,7.1,0.5,-0.1,FALSE,FALSE,
30,0,15,7,0.5,-0.1,FALSE,FALSE,
31,0,15.5,6.9,0.5,-0.1,TRUE,FALSE,
32,0,16,6.8,0.5,-0.1,TRUE,FALSE,
33,0,16.5,6.7,0.5,-0.1,TRUE,FALSE,
34,0,17,6.6,0.5,-0.1,TRUE,FALSE,
35,0,17.5,6.5,0.5,-0.1,TRUE,FALSE,
36,0,18,6.4,0.5,-0.1,TRUE,FALSE,
37,0,18.5,6.3,0.5,-0.1,TRUE,FALSE,
38,0,19,6.2,0.5,-0.1,TRUE,FALSE,
39,0,19.5,6.1,0.5,-0.1,TRUE,FALSE,
40,0,20,6,0.5,-0.1,TRUE,FALSE,
